pc_time,arduino_t_ms,target_deg,angle_deg,error_deg,delta_v,va_out,vb_out,codeA,codeB,count,pid_on,p_term,i_term,d_term,isr,invalid
1773909605.5134354,308,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5200582,358,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5252552,408,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.53018,458,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.536937,508,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5409224,558,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5454266,607,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5496309,657,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5531547,707,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5561953,757,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5612173,807,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5653832,857,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.568372,907,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.5734866,957,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.6035054,1007,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.6462593,1057,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.7089057,1107,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.7414458,1157,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.8036802,1207,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.8645864,1257,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.8960867,1307,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.957024,1357,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909605.9893532,1408,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.048941,1458,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.11282,1508,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.143505,1558,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.2071624,1608,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.2407424,1658,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.304301,1708,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.3624148,1758,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.3942428,1808,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.4581075,1858,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.4916036,1909,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.5509768,1959,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.6138256,2009,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.6434953,2059,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.707582,2109,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.7417877,2159,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.8006349,2209,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.8611722,2258,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.893344,2308,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909606.9551384,2358,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
